index,code,work_date,md_13,n_d13,p_d13,cls_13,cls_17,cls_25,ec_13,ec_17,ec_25,sc_13,sc_17,sc_25,high,low,pclose,pctchg,close,hec,hsc,df13,chr,hhr,clr,llr
1274,sh.603639,2021-12-16,2021-12-15,1,9,-5,6,6,23.9,24.98,24.98,24.98,20.75,16.99,25.17,23.85,23.9,4.017,24.86,24.98,24.98,N,-0.502,0.795,-0.502,-4.728
1287,sh.603666,2021-12-16,2021-12-10,6,11,-2,-2,3,70.7,70.7,82.15,82.15,82.15,55.8,82.28,77.99,81,-1.444,79.83,82.15,82.15,N,-2.864,0.16,-2.864,-5.136
1289,sh.603668,2021-12-16,2021-12-15,1,13,9,7,6,10.73,10.73,10.73,7.63,7.63,7.63,11.33,10.59,10.73,-0.746,10.65,10.73,7.63,N,-0.746,5.592,28.145,27.586
1290,sh.603669,2021-12-16,2021-12-14,2,13,7,7,7,10.27,10.27,10.27,8.32,8.19,7.91,10.58,10.14,10.16,0.689,10.23,10.27,8.32,N,-0.394,3.051,18.799,17.913
1291,sh.603676,2021-12-16,2021-12-14,2,7,4,2,3,8.61,8.61,8.61,8.25,8.25,7.91,8.62,8.51,8.55,0.234,8.57,8.61,8.25,N,-0.468,0.117,3.743,3.041
1341,sh.603776,2021-12-16,2021-12-13,3,18,4,5,4,20.29,20.29,20.29,17.4,17.4,15.21,20.3,19.55,19.71,2.435,20.19,20.29,17.4,N,-0.507,0.051,14.155,10.908
1350,sh.603798,2021-12-16,2021-12-13,3,6,9,9,9,12.99,12.99,12.99,11.09,11.09,9.54,13,12.19,12.24,4.575,12.8,12.99,11.09,N,-1.552,0.082,13.971,8.987
1353,sh.603801,2021-12-16,2021-12-09,7,6,3,3,3,27.5,27.5,27.5,20.95,20.95,19.36,27.75,26.3,26.55,2.185,27.13,27.5,20.95,N,-1.394,0.942,23.277,20.151
1382,sh.603863,2021-12-16,2021-12-15,1,16,5,4,0,9.78,9.78,7.71,8.68,8.68,8.48,9.8,9.48,9.78,-2.965,9.49,9.78,8.68,N,-2.965,0.204,8.282,8.18
1409,sh.603903,2021-12-16,2021-12-01,15,7,4,2,3,11.19,11.19,11.19,10.54,9.35,9.35,11.25,10.81,10.83,2.678,11.12,11.19,10.54,N,-0.646,0.554,5.355,2.493
1430,sh.603956,2021-12-16,2021-12-14,2,7,4,2,2,17.85,17.85,17.85,16,16,15.03,17.9,17.66,17.66,0.963,17.83,17.85,16,N,-0.113,0.283,10.362,9.4
