index,code,work_date,md_13,n_d13,p_d13,cls_13,cls_17,cls_25,ec_13,ec_17,ec_25,sc_13,sc_17,sc_25,high,low,pclose,pctchg,close,hec,hsc,df13,chr,hhr,clr,llr
2299,sz.002389,2021-12-16,2021-12-15,1,21,7,7,7,28.6,28.6,28.6,23.26,23.26,23.26,28.8,27.94,28.6,-1.469,28.18,28.6,23.26,N,-1.469,0.699,17.203,16.364
2310,sz.002400,2021-12-16,2021-12-15,1,19,3,3,3,5.09,5.09,5.09,4.56,4.56,4.56,5.11,4.93,5.09,-0.589,5.06,5.09,4.56,N,-0.589,0.393,9.823,7.269
2318,sz.002408,2021-12-16,2021-12-13,3,24,5,6,7,10.82,10.82,10.82,8.64,8.64,8.64,10.86,10.6,10.81,-0.555,10.75,10.82,8.64,N,-0.648,0.37,19.519,18.131
2349,sz.002439,2021-12-16,2021-12-03,13,4,2,1,1,30.17,30.17,30.17,27.73,27.73,24.52,30.49,29.38,29.54,1.862,30.09,30.17,27.73,N,-0.271,1.083,7.989,5.586
2355,sz.002445,2021-12-16,2021-12-02,14,16,9,9,9,3.14,3.14,3.14,2.64,2.42,2.42,3.15,2.92,2.96,3.716,3.07,3.14,2.64,N,-2.365,0.338,14.527,9.459
2362,sz.002452,2021-12-16,2021-12-15,1,5,9,9,9,11.34,11.34,11.34,10.35,9.05,8.47,11.36,10.8,11.34,-4.586,10.82,11.34,10.35,N,-4.586,0.176,4.145,3.968
2372,sz.002462,2021-12-16,2021-12-15,1,9,2,1,1,13.04,13.04,13.04,12.26,12.22,11.91,13.09,12.87,13.04,-0.613,12.96,13.04,12.26,N,-0.613,0.383,5.368,4.678
2385,sz.002475,2021-12-16,2021-12-13,3,11,4,4,4,46.66,46.66,46.66,38.63,38.63,38.63,46.78,45.45,45.37,2.623,46.56,46.66,38.63,N,-0.22,0.264,17.479,15.032
2388,sz.002479,2021-12-16,2021-12-15,1,16,2,2,1,6.04,6.04,6.04,5.48,5.47,5.3,6.09,5.95,6.04,-0.497,6.01,6.04,5.48,N,-0.497,0.828,8.775,7.781
2422,sz.002514,2021-12-16,2021-12-15,1,6,9,9,7,5.35,5.35,5.35,4.76,4.42,3.9,5.39,5.19,5.35,-2.243,5.23,5.35,4.76,N,-2.243,0.748,8.785,8.037
2424,sz.002516,2021-12-16,2021-12-13,3,11,-7,-7,-8,5.56,5.56,5.56,6.38,6.38,6.38,6.46,6.07,6.03,1.493,6.12,5.56,6.38,N,-4.312,1.327,9.287,8.458
2436,sz.002529,2021-12-16,2021-12-15,1,16,9,9,9,34.4,34.4,34.4,27.44,27.44,27.44,35.76,33.3,34.4,-0.581,34.2,34.4,27.44,N,-0.581,3.953,19.651,17.035
2438,sz.002531,2021-12-16,2021-12-15,1,21,8,8,8,21.28,21.28,21.28,18.4,18.4,18.4,21.48,20.65,21.28,-1.692,20.92,21.28,18.4,N,-1.692,0.94,11.842,10.573
2467,sz.002560,2021-12-16,2021-12-07,9,15,-2,-1,2,5.62,5.62,6.13,6.13,6.13,5.21,6.2,6.05,6.11,0,6.11,6.13,6.13,N,-0.327,1.146,-0.327,-1.309
2488,sz.002581,2021-12-16,2021-12-15,1,16,8,6,5,23.45,23.45,23.45,18.19,14.21,14.21,25.68,22.35,23.45,-3.71,22.58,23.45,18.19,N,-3.71,9.51,18.721,17.74
2492,sz.002585,2021-12-16,2021-12-14,2,6,9,9,9,29.86,29.86,29.86,26.35,26.35,22.47,30.18,29.11,29.56,-0.169,29.51,29.86,26.35,N,-1.184,1.083,10.69,9.337
2496,sz.002589,2021-12-16,2021-12-15,1,9,1,1,1,3.64,3.64,3.64,3.49,3.49,3.37,3.66,3.6,3.64,-0.275,3.63,3.64,3.49,N,-0.275,0.549,3.846,3.022
2529,sz.002624,2021-12-16,2021-12-14,2,12,3,3,3,22.38,22.38,22.38,18.58,18.58,18.58,22.48,21.18,21.76,0.414,21.85,22.38,18.58,N,-2.436,0.46,15.028,11.949
2539,sz.002635,2021-12-16,2021-12-14,2,7,7,5,4,17.83,17.83,17.83,14.93,14.93,14.93,18.09,17.24,17.54,-1.14,17.34,17.83,14.93,N,-2.794,1.482,13.74,13.17
2548,sz.002644,2021-12-16,2021-11-30,16,12,2,2,1,7.42,7.42,7.42,7.1,6.9,6.9,7.44,7.36,7.38,0.271,7.4,7.42,7.1,N,-0.271,0.271,4.065,3.523
2550,sz.002646,2021-12-16,2021-12-15,1,9,6,5,6,22.13,22.13,22.13,19.91,19.27,18.39,22.37,21.54,22.13,-2.576,21.56,22.13,19.91,N,-2.576,1.085,7.456,7.366
2558,sz.002654,2021-12-16,2021-12-15,1,16,7,5,5,4.27,4.27,4.27,3.49,3.49,3.26,4.49,4.14,4.27,-1.171,4.22,4.27,3.49,N,-1.171,5.152,17.096,15.222
2564,sz.002660,2021-12-16,2021-12-10,6,3,6,4,4,8.36,8.36,8.36,7.59,7.59,6.7,8.4,8.2,8.29,-0.241,8.27,8.36,7.59,N,-1.086,0.483,8.203,7.358
2572,sz.002668,2021-12-16,2021-12-15,1,16,7,6,6,5.97,5.97,5.97,5.36,5.36,5.09,5.99,5.87,5.97,-1.34,5.89,5.97,5.36,N,-1.34,0.335,8.878,8.543
2582,sz.002678,2021-12-16,2021-12-13,3,14,1,2,1,6.81,6.81,6.81,6.57,6.5,6.5,6.82,6.76,6.75,0.296,6.77,6.81,6.57,N,-0.593,0.148,2.963,2.815
2606,sz.002703,2021-12-16,2021-12-14,2,7,7,7,7,6.17,6.17,6.17,5.64,5.64,5.59,6.19,5.98,6.05,1.322,6.13,6.17,5.64,N,-0.661,0.331,8.099,5.62
2621,sz.002721,2021-12-16,2021-12-15,1,1,8,6,5,3.72,3.72,3.72,3.38,3.38,2.7,3.97,3.59,3.72,-3.226,3.6,3.72,3.38,N,-3.226,6.72,5.914,5.645
2642,sz.002742,2021-12-16,2021-12-15,1,6,6,4,4,7.09,7.09,7.09,6.58,6.58,5.99,7.19,7.01,7.09,-0.705,7.04,7.09,6.58,N,-0.705,1.41,6.488,6.065
2643,sz.002743,2021-12-16,2021-12-16,0,17,2,2,2,6.91,6.91,6.99,6.23,6.23,5.96,7.02,6.68,6.69,3.288,6.91,6.99,6.23,Y,-1.196,0.448,10.164,6.726
2696,sz.002802,2021-12-16,2021-12-07,9,8,1,3,3,23.1,23.1,23.1,20.72,20.72,18.98,23.29,22.92,23,0.217,23.05,23.1,20.72,N,-0.217,0.826,10.13,9.565
2701,sz.002808,2021-12-16,2021-12-07,9,6,-3,2,1,7.53,7.98,7.98,7.98,6.63,6.63,8.01,7.83,7.85,1.529,7.97,7.98,7.98,N,-0.127,0.382,-0.127,-1.911
2738,sz.002848,2021-12-16,2021-12-03,13,4,2,1,1,8.98,8.98,8.98,8.64,8.49,7.73,9.01,8.91,8.95,0.112,8.96,8.98,8.64,N,-0.223,0.335,3.575,3.017
2747,sz.002858,2021-12-16,2021-12-14,2,11,9,9,9,19.78,19.78,19.78,16.85,15.81,14.18,20.09,19.52,19.69,0.356,19.76,19.78,16.85,N,-0.102,1.574,14.779,13.56
2765,sz.002877,2021-12-16,2021-12-14,2,7,5,3,3,6.87,6.87,6.87,6.41,6.41,6.41,6.9,6.7,6.71,1.192,6.79,6.87,6.41,N,-1.192,0.447,5.663,4.322
2767,sz.002879,2021-12-16,2021-12-07,9,7,-8,-8,9,21.88,21.88,25.85,25.85,25.85,16.72,26.55,25.27,25.45,0.275,25.52,25.85,25.85,N,-1.297,2.75,-1.297,-2.279
2784,sz.002897,2021-12-16,2021-12-15,1,19,9,9,9,56.55,56.55,56.55,42.1,42.1,42.1,57.98,53.98,56.55,-1.362,55.78,56.55,42.1,N,-1.362,2.529,24.191,21.008
2785,sz.002898,2021-12-16,2021-12-07,9,6,-5,3,1,9.6,10.03,10.03,10.03,8.87,8.87,10.04,9.84,9.86,0.811,9.94,10.03,10.03,N,-0.913,0.101,-0.913,-1.927
2798,sz.002912,2021-12-16,2021-12-14,2,7,2,1,1,33.06,33.06,33.06,30.63,30.63,29.16,33.24,32.63,32.9,-0.608,32.7,33.06,30.63,N,-1.094,0.547,6.292,6.079
2802,sz.002917,2021-12-16,2021-12-14,2,7,7,6,4,10.25,10.25,10.25,8.29,8.29,7.42,10.47,9.65,9.65,4.352,10.07,10.25,8.29,N,-1.865,2.28,18.446,14.093
2805,sz.002920,2021-12-16,2021-12-02,14,16,9,9,9,142.8,142.8,142.8,108.26,108.26,107.35,144.3,137.42,138.88,2.254,142.01,142.8,108.26,N,-0.569,1.08,24.302,20.997
2806,sz.002921,2021-12-16,2021-12-13,3,6,5,3,3,17.38,17.38,17.38,15.68,15.68,14.18,17.45,16.7,16.94,0.708,17.06,17.38,15.68,N,-1.889,0.413,8.146,6.021
