index,cls,afs5_3,afs7_3,afs9_3,afs5_4,afs7_4,afs9_4,afs5_5,afs7_5,afs9_5,cnt,ar5_3,ar7_3,ar9_3,ar5_4,ar7_4,ar9_4,ar5_5,ar7_5,ar9_5,kpi5_3,kpi7_3,kpi9_3,kpi5_4,kpi7_4,kpi9_4,kpi5_5,kpi7_5,kpi9_5
29,15432,1062,1568,2106,611,889,1207,402,586,799,3396,0.31,0.46,0.62,0.18,0.26,0.36,0.12,0.17,0.24,31.64,152.62,501.92,3.56,15.63,56.31,0.69,2.88,11.05
30,2134,11028,14968,18625,6499,8717,10708,4377,5735,6911,17287,0.64,0.87,1.08,0.38,0.5,0.62,0.25,0.33,0.4,2890.92,9856.47,23462.14,356.61,1089.63,2552.02,68.39,206.1,442.3
31,21345,7070,9564,11778,3827,5159,6275,2325,3115,3792,10416,0.68,0.92,1.13,0.37,0.5,0.6,0.22,0.3,0.36,2223.03,7447.37,16994.44,193.85,644.88,1355.4,24.76,84.11,176.92
32,21354,1919,2705,3505,1129,1568,2029,761,1016,1300,4291,0.45,0.63,0.82,0.26,0.37,0.47,0.18,0.24,0.3,174.87,676.38,1932.54,19.84,79.42,210.66,4.44,14.05,35.1
33,2143,1037,1463,1866,642,920,1166,465,656,826,2120,0.49,0.69,0.88,0.3,0.43,0.55,0.22,0.31,0.39,122,480.61,1271.63,17.33,73.15,193.99,4.95,19.54,49
34,21435,1804,2400,2969,1073,1445,1777,654,893,1110,2381,0.76,1.01,1.25,0.45,0.61,0.75,0.27,0.38,0.47,791.91,2472.72,5798.83,97.78,327.99,749.67,12.87,49,115.24
35,21453,872,1257,1683,491,711,948,314,459,615,2313,0.38,0.54,0.73,0.21,0.31,0.41,0.14,0.2,0.27,47.85,197.93,654.72,4.55,21.18,65.34,0.86,3.67,12.11
36,21534,806,1096,1372,471,645,815,323,434,540,1388,0.58,0.79,0.99,0.34,0.46,0.59,0.23,0.31,0.39,157.26,540.37,1331.25,18.51,62.78,167.38,3.93,12.93,32.03
37,21543,786,1147,1513,469,675,914,320,456,606,2096,0.38,0.55,0.72,0.22,0.32,0.44,0.15,0.22,0.29,43.13,190.83,564.72,4.99,22.12,77.86,1.08,4.86,14.78
38,2314,2289,2994,3671,1417,1833,2222,911,1181,1443,3738,0.61,0.8,0.98,0.38,0.49,0.59,0.24,0.32,0.39,519.56,1532.93,3455.12,77.75,215.65,456.35,12.59,38.7,85.6
39,23145,1999,2611,3177,1149,1503,1815,754,970,1157,3059,0.65,0.85,1.04,0.38,0.49,0.59,0.25,0.32,0.38,548.98,1603.48,3573.69,63.05,176.83,372.76,11.78,31.78,63.49
40,23154,636,881,1127,379,528,664,248,341,421,1309,0.49,0.67,0.86,0.29,0.4,0.51,0.19,0.26,0.32,74.82,264.97,716.84,9.24,33.79,88.08,1.7,5.99,13.8
41,2341,5362,7568,9582,3140,4420,5622,2218,3107,3929,12543,0.43,0.6,0.76,0.25,0.35,0.45,0.18,0.25,0.31,426.32,1634.69,4206.27,49.06,189.51,512.3,12.94,48.55,117.05
42,23415,951,1214,1391,583,720,813,363,450,520,1388,0.69,0.87,1,0.42,0.52,0.59,0.26,0.32,0.37,312.41,799.42,1391,43.19,101.24,166.97,6.38,14.75,26.34
43,23451,535,743,951,297,424,548,194,282,362,1482,0.36,0.5,0.64,0.2,0.29,0.37,0.13,0.19,0.24,24.96,92.88,249.3,2.38,10.34,27.76,0.43,1.93,5
44,23514,280,380,471,171,226,272,110,147,172,448,0.63,0.85,1.05,0.38,0.5,0.61,0.25,0.33,0.38,70.01,233.37,545.24,9.38,28.25,61.74,1.72,5.28,9.44
45,23541,859,1155,1498,468,605,789,291,375,499,2452,0.35,0.47,0.61,0.19,0.25,0.32,0.12,0.15,0.2,36.83,119.92,340.02,3.21,9.45,25.85,0.5,1.27,3.99
46,2413,788,1060,1342,511,669,839,330,434,541,1704,0.46,0.62,0.79,0.3,0.39,0.49,0.19,0.25,0.32,76.7,252.63,661.66,13.8,39.68,98.71,2.26,6.78,17.73
47,24135,608,777,983,326,427,554,200,259,342,892,0.68,0.87,1.1,0.37,0.48,0.62,0.22,0.29,0.38,191.17,511.66,1308.37,16.51,47.22,132.03,2.13,6.32,18.77
48,24153,171,229,286,100,126,156,72,90,113,318,0.54,0.72,0.9,0.31,0.4,0.49,0.23,0.28,0.36,26.93,85.47,208.49,2.98,8.06,18.35,0.88,1.98,5.27
49,2431,3953,5521,7056,2216,3096,3962,1479,2058,2629,10595,0.37,0.52,0.67,0.21,0.29,0.37,0.14,0.19,0.25,200.23,776.3,2122.18,20.52,75.51,200.69,4.06,14.12,41.08
50,24315,735,926,1124,473,588,703,316,394,469,1010,0.73,0.92,1.11,0.47,0.58,0.7,0.31,0.39,0.46,285.93,721.07,1537.22,49.11,114.73,241.13,9.41,23.37,45.65
51,24351,236,349,443,142,211,264,95,143,177,605,0.39,0.58,0.73,0.23,0.35,0.44,0.16,0.24,0.29,14,68.09,172.33,1.73,9.05,22.49,0.39,1.98,4.32
52,24513,349,471,567,213,280,345,158,201,235,656,0.53,0.72,0.86,0.32,0.43,0.53,0.24,0.31,0.36,51.96,175.8,360.64,6.98,22.26,51.36,2.18,5.99,10.96
53,24531,967,1413,1840,506,739,947,331,477,618,3238,0.3,0.44,0.57,0.16,0.23,0.29,0.1,0.15,0.19,26.11,120.36,340.76,2.07,8.99,23.1,0.33,1.61,4.24
54,25134,261,350,458,164,210,283,111,149,203,484,0.54,0.72,0.95,0.34,0.43,0.58,0.23,0.31,0.42,41.1,130.64,392.68,6.45,16.7,55.22,1.35,4.44,15.04
55,25143,142,197,247,89,125,160,59,86,110,277,0.51,0.71,0.89,0.32,0.45,0.58,0.21,0.31,0.4,18.84,70.51,174.13,2.92,11.39,31.22,0.55,2.56,7.04
56,25314,498,682,869,319,435,539,227,305,366,873,0.57,0.78,1,0.37,0.5,0.62,0.26,0.35,0.42,92.23,323.64,869,16.16,54.38,128.46,3.99,13.08,27.12
57,25341,382,558,781,227,352,471,153,235,308,1051,0.36,0.53,0.74,0.22,0.33,0.45,0.15,0.22,0.29,17.82,83.07,316.48,2.42,12.65,42.92,0.52,2.5,7.51
58,25413,456,617,785,253,340,438,180,243,300,1003,0.45,0.62,0.78,0.25,0.34,0.44,0.18,0.24,0.3,41.55,147.05,372.52,3.95,13.36,37.31,1.05,3.36,8.1
59,25431,1044,1512,2005,585,873,1173,370,556,734,3084,0.34,0.49,0.65,0.19,0.28,0.38,0.12,0.18,0.24,41.03,177.89,550.62,4.01,19.16,64.36,0.64,3.24,10.15
