index,cls,afs5_3,afs7_3,afs9_3,afs5_4,afs7_4,afs9_4,afs5_5,afs7_5,afs9_5,cnt,ar5_3,ar7_3,ar9_3,ar5_4,ar7_4,ar9_4,ar5_5,ar7_5,ar9_5,kpi5_3,kpi7_3,kpi9_3,kpi5_4,kpi7_4,kpi9_4,kpi5_5,kpi7_5,kpi9_5
116,45231,1211,1767,2435,770,1133,1598,507,769,1099,3103,0.39,0.57,0.78,0.25,0.37,0.51,0.16,0.25,0.35,71.84,327.24,1155.53,12.03,57.39,211.98,2.08,12.02,47.12
117,45312,3023,4200,5533,1615,2301,3092,1134,1608,2160,6962,0.43,0.6,0.79,0.23,0.33,0.44,0.16,0.23,0.31,240.35,907.2,2727.98,19.65,82.69,263.39,4.64,19.56,64.35
118,45321,4515,6707,9549,2735,4222,6129,1742,2763,4099,13550,0.33,0.49,0.7,0.2,0.31,0.45,0.13,0.2,0.3,162.26,789.07,3275.31,21.88,125.78,558.51,3.83,22.1,110.67
119,51234,1701,2459,3236,1075,1527,1961,757,1042,1323,2769,0.61,0.89,1.17,0.39,0.55,0.71,0.27,0.38,0.48,386.09,1733.52,5182.82,63.77,254.05,701.86,14.9,57.18,146.31
120,51243,797,1203,1572,508,757,984,384,564,708,1614,0.49,0.75,0.97,0.31,0.47,0.61,0.24,0.35,0.44,93.77,507.52,1434.72,15.13,78.59,223.35,5.31,24.18,60.31
121,51324,961,1342,1676,646,896,1107,457,623,770,1222,0.79,1.1,1.37,0.53,0.73,0.91,0.37,0.51,0.63,473.81,1786.2,4309.59,96.17,348.56,834.2,23.15,82.64,192.54
122,51342,630,935,1217,407,624,808,322,467,605,1267,0.5,0.74,0.96,0.32,0.49,0.64,0.25,0.37,0.48,78.75,378.88,1076.72,13.34,73.41,211.81,5.03,23.65,66.91
123,51423,638,935,1194,459,658,817,344,465,577,982,0.65,0.95,1.22,0.47,0.67,0.83,0.35,0.47,0.59,175.21,801.65,2168.12,47.65,197.9,467.15,14.75,48.28,118.5
124,51432,584,850,1101,418,608,782,315,446,565,1057,0.55,0.8,1.04,0.4,0.58,0.74,0.3,0.42,0.53,97.16,435.2,1238.48,26.75,118.63,316.89,8.51,33.04,84.12
125,52134,2237,3087,3920,1257,1718,2170,827,1126,1398,3782,0.59,0.82,1.04,0.33,0.45,0.57,0.22,0.3,0.37,459.43,1702.07,4409.47,45.17,156.55,401.87,8.81,30.4,70.81
126,52143,933,1337,1753,591,854,1102,404,580,755,1635,0.57,0.82,1.07,0.36,0.52,0.67,0.25,0.35,0.46,172.79,737.18,2147.5,27.57,120.08,331.44,6.31,24.87,73.49
127,52314,1223,1682,2094,854,1162,1448,635,855,1046,1513,0.81,1.11,1.38,0.56,0.77,0.96,0.42,0.57,0.69,649.95,2300.36,5503.18,149.98,530.49,1281.1,47.05,158.34,343.62
128,52341,794,1174,1539,506,724,954,382,532,692,1988,0.4,0.59,0.77,0.25,0.36,0.48,0.19,0.27,0.35,50.82,241.11,702.6,7.91,33.78,105.5,2.62,10.47,29.67
129,52413,608,880,1119,394,585,741,305,443,550,856,0.71,1.03,1.31,0.46,0.68,0.87,0.36,0.52,0.64,217.61,961.6,2515.61,38.35,183.94,487.95,14.23,62.29,144.18
130,52431,1136,1675,2143,713,1050,1333,499,731,933,2440,0.47,0.69,0.88,0.29,0.43,0.55,0.2,0.3,0.38,117.94,550.25,1460.39,17.39,83.48,221.78,3.99,19.74,51.2
131,53124,3023,4093,5128,1695,2329,2918,1122,1566,1937,4634,0.65,0.88,1.11,0.37,0.5,0.63,0.24,0.34,0.42,830.19,2789.26,7013.21,85.86,291.13,729.64,15.51,61.55,143.51
132,53142,853,1265,1697,570,840,1132,449,649,848,1684,0.51,0.75,1.01,0.34,0.5,0.67,0.27,0.39,0.5,113.15,533.67,1748.42,22.4,105,340.46,8.84,38.5,106
133,53214,2750,3825,4827,1778,2449,3068,1250,1736,2180,3710,0.74,1.03,1.3,0.48,0.66,0.83,0.34,0.47,0.59,1114.37,4179.68,10604.92,196.63,704.08,1754.24,49.13,180.24,447.73
134,53241,903,1326,1747,572,852,1126,440,647,833,1947,0.46,0.68,0.9,0.29,0.44,0.58,0.23,0.33,0.43,87.89,416.94,1273.56,13.95,72.58,219.7,5.35,23.25,66.23
135,53412,1979,2960,3898,1358,2030,2639,1007,1469,1918,3526,0.56,0.84,1.11,0.39,0.58,0.75,0.29,0.42,0.54,347.54,1754.4,5331.03,80.56,396.08,1113.33,24.56,108.84,302.02
136,53421,3107,4765,6343,1910,3003,4010,1264,1998,2702,7369,0.42,0.65,0.86,0.26,0.41,0.54,0.17,0.27,0.37,230.19,1308.59,4034.5,33.57,206.97,631.43,6.21,39.33,136.86
137,54123,3419,4962,6488,2092,3007,3942,1484,2127,2760,6927,0.49,0.72,0.94,0.3,0.43,0.57,0.21,0.31,0.4,402.24,1852.06,5388.83,56.48,239.08,730.03,13.74,63.37,176.64
138,54132,1560,2297,3156,971,1454,2036,746,1106,1527,3303,0.47,0.7,0.96,0.29,0.44,0.62,0.23,0.33,0.46,161.96,787.87,2792.23,23.68,123.86,485.24,9.08,39.75,148.63
139,54213,4741,6874,8991,3013,4355,5702,2163,3111,4042,8251,0.57,0.83,1.09,0.37,0.53,0.69,0.26,0.38,0.49,878,3930.46,11643.61,152.62,648.36,1873.16,38.02,170.71,475.54
140,54231,2770,4116,5649,1765,2663,3709,1204,1877,2654,6675,0.41,0.62,0.85,0.26,0.4,0.56,0.18,0.28,0.4,190.91,980.96,3469.19,31.02,170.43,651.36,7.02,41.2,169.86
141,54312,7417,11043,14876,4864,7201,9678,3539,5210,6987,15732,0.47,0.7,0.95,0.31,0.46,0.62,0.22,0.33,0.44,770.06,3787.75,12754.31,144.9,700.92,2306.54,37.68,187.23,595.18
142,54321,9201,14150,19424,5970,9158,12574,3951,6139,8514,23743,0.39,0.6,0.82,0.25,0.39,0.53,0.17,0.26,0.36,545.79,3056.4,10709.77,93.28,543.24,1871.98,19.41,107.9,397.23
